City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
282,Moerai,-22.4333,-151.3333,75.97,72,63,4.63,PF,1672119405
283,Baruun-Urt,46.6806,113.2792,10.06,78,100,10.13,MN,1672119185
284,Agadez,19.75,10.25,54.18,47,0,8.99,NE,1672119406
285,Kenora,49.8167,-94.4337,5.97,72,75,11.5,CA,1672119406
286,Samarai,-10.6167,150.6667,81.39,80,100,8.46,PG,1672119408
287,Port Augusta,-32.5,137.7667,104.86,15,42,11.92,AU,1672119408
288,Katobu,-4.9408,122.5276,87.21,58,91,7.23,ID,1672119409
289,Phalodi,27.1333,72.3667,68.07,17,0,8.52,IN,1672119410
290,Hamilton,39.1834,-84.5333,27.23,86,100,0.0,US,1672119115
291,Hirānagar,32.45,75.2667,64.36,28,18,4.97,IN,1672119410
292,Quang Ngai,15.1167,108.8,75.06,68,76,8.68,VN,1672119411
293,Romodanovo,54.4275,45.3296,11.89,93,100,5.91,RU,1672119411
294,Jalu,29.0331,21.5482,53.92,68,0,5.23,LY,1672119412
295,Sidrolândia,-20.9319,-54.9614,71.58,72,7,2.84,BR,1672119413
296,Chicama,-7.8447,-79.1469,64.94,75,79,2.95,PE,1672119414
297,Sampit,-2.5333,112.95,84.74,67,100,5.23,ID,1672119415
298,Taebla,58.9547,23.7419,33.87,90,100,9.62,EE,1672119417
299,Santa Rosa,14.3122,121.1114,81.1,68,91,14.76,PH,1672119417
300,Manali,13.1667,80.2667,86.09,71,23,7.61,IN,1672119418
301,Kuching,1.55,110.3333,87.13,71,40,9.22,MY,1672119418
302,Pahrump,36.2083,-115.9839,52.95,43,82,7.23,US,1672119419
303,Husavik,66.0449,-17.3389,12.58,85,96,9.35,IS,1672119419
304,Stende,57.15,22.5333,34.88,84,90,11.65,LV,1672119420
305,Casas Grandes,30.3667,-107.95,44.01,42,0,4.74,MX,1672119420
306,Örnsköldsvik,63.2909,18.7153,31.15,100,100,12.66,SE,1672119421
307,Tazovsky,67.4667,78.7,4.98,96,100,5.64,RU,1672119422
308,Malartic,48.1335,-78.1328,1.51,97,100,4.99,CA,1672119422
309,Caceres,39.522,-6.3748,47.01,90,10,2.21,ES,1672119423
310,Palmital,-22.7889,-50.2175,67.5,96,0,5.1,BR,1672119424
311,Vila Velha,-20.3297,-40.2925,73.35,96,75,3.44,BR,1672119425
312,Zorritos,-3.6805,-80.6782,72.45,80,54,6.46,PE,1672119426
313,Ha Tinh,18.3333,105.9,69.08,82,94,3.36,VN,1672119128
314,San Matías,-16.3667,-58.4,74.82,85,74,3.38,BO,1672119427
315,Meulaboh,4.1363,96.1285,84.25,65,91,5.35,ID,1672119427
316,Iqaluit,63.7506,-68.5145,19.13,58,75,12.66,CA,1672119428
317,Chosica,-11.9431,-76.7094,62.83,83,100,2.21,PE,1672119428
318,Kautokeino,69.0125,23.0412,24.78,93,100,23.91,NO,1672119429
319,Chauk,20.8833,94.8167,81.59,31,0,4.36,MM,1672119429
320,Sechura,-5.5569,-80.8222,69.33,79,58,5.46,PE,1672119430
321,Touros,-5.1989,-35.4608,77.07,80,43,8.81,BR,1672119430
322,Ucluelet,48.9329,-125.5528,49.08,92,100,20.92,CA,1672119431
323,Sisimiut,66.9395,-53.6735,10.67,54,8,12.3,GL,1672119432
324,Karachi,24.9056,67.0822,67.82,40,0,9.22,PK,1672119304
325,Pergamino,-33.89,-60.5736,67.17,43,0,6.78,AR,1672119433
326,Kiryat Gat,31.61,34.7642,56.08,100,63,15.21,IL,1672119241
327,Korla,41.7597,86.1469,24.44,36,0,3.76,CN,1672119154
328,Ancud,-41.8697,-73.8203,45.25,82,8,5.48,CL,1672119436
329,Beaupré,47.0443,-70.8953,25.66,92,100,3.44,CA,1672119437
330,Kango,0.1943,10.0951,74.5,96,35,0.18,GA,1672119438
331,Nuuk,64.1835,-51.7216,11.43,66,41,8.34,GL,1672119439
332,São Miguel do Araguaia,-13.275,-50.1628,68.13,98,100,3.85,BR,1672119440
333,Cássia,-20.5831,-46.9219,65.89,97,100,2.44,BR,1672119441
334,Vega de Alatorre,20.0333,-96.6333,62.92,87,26,6.02,MX,1672119441
335,Kovylkino,54.0388,43.9139,19.42,95,100,8.5,RU,1672119442
336,Sinnamary,5.3833,-52.95,76.33,86,82,12.8,GF,1672119443
337,Hong Kong,22.2855,114.1577,70.97,62,22,10.0,HK,1672119357
338,Nagato,34.3833,131.2,50.76,60,65,6.46,JP,1672119445
339,Vertientes,21.2594,-78.1464,72.21,95,57,5.7,CU,1672119445
340,Bagdarin,54.4333,113.6,5.61,79,100,2.68,RU,1672119446
341,Belmonte,-15.8631,-38.8828,73.44,88,88,3.15,BR,1672119447
342,Aksha,50.2814,113.2867,12.11,78,100,10.89,RU,1672119448
343,Bilma,18.6853,12.9164,58.96,36,0,7.02,NE,1672119448
344,Pevek,69.7008,170.3133,-14.04,100,100,3.67,RU,1672119450
345,Teguise,29.0605,-13.564,68.22,56,100,26.46,ES,1672119451
346,Belaya Gora,68.5333,146.4167,-24.34,96,99,5.41,RU,1672119452
347,Campo Largo,-25.4586,-49.5283,67.53,97,61,3.36,BR,1672119453
348,Aksarka,66.5606,67.7975,1.26,93,96,4.43,RU,1672119453
349,Anaconda,46.1285,-112.9423,34.79,85,79,7.25,US,1672119454
350,Coquimbo,-29.9533,-71.3436,62.33,67,0,6.91,CL,1672119455
351,Port Macquarie,-31.4333,152.9167,79.9,63,0,8.9,AU,1672119456
